,title,deputado_id,year,number,full_ref,vote,sessao_id,date,type
29426,"REQUERIMENTO DE RETIRADA DE PAUTA",530138,2010,503,"MPV  N  503 2010",N,21,2011-02-23,MPV
9987,"DVS - DEM - CAPÍTULO I DO PLV",530053,2011,527,"MPV  N  527 2011",S,167,2011-06-28,MPV
22095,"DVS - DEM- EXP "" E DE INTERVENÇÃO DE DOMINIO ECONÔMICO"" CAP ART. 76",530051,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
11292,"DVS - DEM - EMENDA Nº 28",528487,2011,1209,"PL   N  1209 2011",S,228,2011-08-31,PL
3904,"PT - DESTAQUE DE PREFERÊNCIA PARA VOTAÇÃO DA PEC Nº 61/2011",530161,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
1099,"DVS - DEM - CAPUT DO ART. 76 DO ADCT CONST. DO ART. 1º DA PEC 61/2011",530020,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
9255,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",522825,2008,306,"PLP  N  306 2008",S,255,2011-09-21,PLP
11497,"PROJETO DE DECRETO LEGISLATIVO",530061,2011,220,"PDC  N  220 2011",O,300,2011-10-27,PDC
9622,"REQUERIMENTO DE RETIRADA DE PAUTA",521798,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
10945,"DVS - PSDB - ART. 20 DO PLV",526179,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
17540,"PT - DESTAQUE DE PREFERÊNCIA PARA VOTAÇÃO DA PEC Nº 61/2011",521703,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
21749,"REQUERIMENTO DE RETIRADA DE PAUTA",530191,2010,521,"MPV  N  521 2010",N,102,2011-05-10,MPV
9443,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES",527540,2011,61,"PEC  N  61 2011",O,331,2011-11-22,PEC
20137,"DVS - PSDB - EMENDA Nº 1",531922,2011,382,"PL   N  382 2011",N,13,2011-02-16,PL
6433,"REQUERIMENTO DE RETIRADA DE PAUTA",522042,2011,61,"PEC  N  61 2011",N,316,2011-11-09,PEC
