party,state,name,id
PT,MG,WELITON PRADO,530069
PR,MT,WELLINGTON FAGUNDES,521528
PR,PB,WELLINGTON ROBERTO,521710
PDT,MA,WEVERTON ROCHA,531099
PSDB,SP,WILLIAM DIB,530208
PMDB,PB,WILSON FILHO,530095
PMDB,PA,WLADIMIR COSTA,521607
PDT,PE,WOLNEY QUEIROZ,526520
PT,PA,ZÉ GERALDO,521592
PDT,MG,ZÉ SILVA,530066
PR,MA,ZÉ VIEIRA,525440
PT,PR,ZECA DIRCEU,530117
PSDB,PA,ZENALDO COUTINHO,521682
PSC,PA,ZEQUINHA MARINHO,521577
PR,RJ,ZOINHO,530138
PSB,MT,CABO JULIANO RABELO,531722
PSDB,MA,CARLOS BRANDÃO,525372
PSDB,PA,DUDIMAR PAXIUBA,531760
PT,BA,AFONSO FLORENCE,530018
PTB,PB,ARMANDO ABÍLIO,531823
PMDB,CE,GERA ARRUDA,530832
PT,ES,IRINY LOPES,520657
PP,BA,JOÃO LEÃO,520277
PSC,PB,LEONARDO GADELHA,531822
PSDB,GO,LEONARDO VILELA,520743
PT,RJ,LUIZ SÉRGIO,522334
PSDB,SC,MARCO TEBALDI,530177
PMDB,CE,MÁRIO FEITOZA,530829
PP,BA,MÁRIO NEGROMONTE,520276
PMDB,PR,ODÍLIO BALBINOTTI,531977
PT,RS,PAULO FERREIRA,532967
PPS,MA,SIMPLÍCIO ARAÚJO,531124
PSB,MT,VALTENIR PEREIRA,526124
PSDB,SP,WALTER FELDMAN,533311
PT,BA,ZEZÉU RIBEIRO,520293
PSDB,SP,EDSON APARECIDO,528387
PT,DF,MAGELA,525086
PMDB,MA,PAULO MARINHO JUNIOR,5829167
PT,DF,PAULO TADEU,530043
PMDB,RJ,PEDRO PAULO,530133
PMDB,MA,RICARDO ARCHER,5829166
PMDB,RJ,RODRIGO BETHLEM,527425
DEM,SP,RODRIGO GARCIA,530197
PSD,RJ,SERGIO ZVEITER,530129
PSC,MG,STEFANO AGUIAR,531619
PSB,RJ,ALEXANDRE CARDOSO,522616
PEN,AL,JOÃO CALDAS,5829170
DEM,PB,MAJOR FÁBIO,5829172
PSB,SP,MÁRCIO FRANÇA,528753
PMDB,MT,PROFESSOR VICTÓRIO GALLI,5829174
PRP,PA,VALRY MORAIS,5829171
PSB,RS,VICENTE SELISTRE,5829173
DEM,RN,BETINHO ROSADO,522860
PSB,RS,BETO ALBUQUERQUE,523221
PSDB,SP,CARLOS ROBERTO,533314
PRP,RR,CHICO DAS VERDURAS,530156
PSD,AM,DR. LUIZ FERNANDO,5829179
PSB,MG,ISAIAS SILVESTRE,5829178
PT,RJ,JORGE BITTAR,522344
PSDB,AL,ALEXANDRE TOLEDO,5829169
PT,RO,ANSELMO DE JESUS,5829189
PMDB,RJ,CELSO JACOB,5829219
PMDB,BA,COLBERT MARTINS,5829196
PV,RJ,EURICO JÚNIOR,5829187
PMDB,SE,FABIO REIS,5829193
PMDB,RJ,FERNANDO LOPES,5829210
PT,SP,FRANCISCO CHAGAS,5829213
PMN,AL,FRANCISCO TENÓRIO,5829181
PPS,MG,HUMBERTO SOUTO,5829180
PT,SP,IARA BERNARDI,5829192
