explicacao_ementa,apreciacao,ementa,situacao,tipo,ano,numero,autor,regime_tramitacao,links_inteiro_teor,data,id
"Altera as leis nº 11.182 de 2005, nº 5.862 de 1972, nº 8.399 de 1992, nº 11.458 de 2007, e nº 9.649 de 1998. 
O PLV 17 de 2011 cria o Regime Diferenciado de Contratações Públicas, com regras específicas para licitações de obras e serviços relacionados às copas das Confederações (2013) e do Mundo (2014) e às Olimpíadas e Paraolimpíadas (2016).",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, cria a Secretaria de Aviação Civil, altera a legislação da Agência Nacional de Aviação Civil - ANAC e da Empresa Brasileira de Infraestrutura Aeroportuária - INFRAERO, cria cargos de Ministro de Estado e cargos em comissão, dispõe sobre a contratação de controladores de tráfego aéreo temporários, cria cargos de Controlador de Tráfego Aéreo.
",Tranformada no(a) Lei Ordinária 12462/2011,MPV,2011,527,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=850573,2011-03-18,495378
"
  ",Proposição Sujeita à Apreciação do Plenário,Altera os valores constantes da tabela do Imposto sobre a Renda da Pessoa Física.,Tranformada no(a) Lei Ordinária 12469/2011,MPV,2011,528,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=853069,2011-03-28,496290
"
  ",Proposição Sujeita à Apreciação do Plenário,"Institui, no âmbito do Ministério da Educação, o plano especial de recuperação da rede física escolar pública, com a finalidade de prestar assistência financeira para recuperação das redes físicas das escolas públicas estaduais, do Distrito Federal e municipais afetadas por desastres.",Tranformada no(a) Lei Ordinária 12487/2011,MPV,2011,530,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=862234,2011-04-26,499323
"
  ",Proposição Sujeita à Apreciação do Plenário,"Acresce e dá nova redação a dispositivos das Leis nºs 9.478, de 6 de agosto de 1997, e 9.847, de 26 de outubro de 1999, que dispõem sobre a política e a fiscalização das atividades relativas ao abastecimento nacional de combustíveis; altera o § 1º do art. 9º da Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores; dá nova redação aos arts. 1º, 2º e 3º do Decreto-Lei nº 509, de 20 de março de 1969, que dispõe sobre a transformação do Departamento dos Correios e Telégrafos em empresa pública; altera a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a Organização da Presidência da República e dos Ministérios, e dá outras providências.",Tranformada no(a) Lei Ordinária 12490/2011,MPV,2011,532,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=865997,2011-04-29,500056
"
  ",Proposição Sujeita à Apreciação do Plenário,"Autoriza a União a transferir recursos financeiros aos Municípios e ao Distrito Federal, com a finalidade de prestar apoio financeiro à manutenção de novos estabelecimentos públicos de educação infantil, e dá outras providências.
",Tranformada no(a) Lei Ordinária 12499/2011,MPV,2011,533,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=869848,2011-05-11,501560
"O PLV apresentado altera também as Leis nºs 6.385, de 1976 e 10.931, de 2004.",Proposição Sujeita à Apreciação do Plenário,"Autoriza o Conselho Monetário Nacional, para fins da política monetária e cambial, a estabelecer condições específicas para negociação de contratos de derivativos, altera o art. 3º do Decreto-Lei nº 1.783, de 18 de abril de 1980, e os arts. 1º e 2º da Lei nº 8.894, de 21 de junho de 1994, e dá outras providências.",MESA - Aguardando Sanção,MPV,2011,539,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=902296,2011-07-27,513172
"Altera as leis nºs 11.774, de 2008; 11.196, de 2005 e 10.865, de 2004.",Proposição Sujeita à Apreciação do Plenário,"Institui o Regime Especial de Reintegração de Valores Tributários para as Empresas Exportadoras - REINTEGRA; dispõe sobre a redução do Imposto sobre Produtos Industrializados - IPI à indústria automotiva; altera a incidência as contribuições previdenciárias devidas pelas empresas que menciona, e dá outras providências.",MESA - Aguardando Sanção,MPV,2011,540,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=904767,2011-08-03,513512
"
  ",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre o Fundo de Financiamento à Exportação, altera as Leis nºs 12.096, de 24 de novembro de 2009, 11.529, de 22 de outubro de 2007, 10.683, de 28 de maio de 2003, 5.966, de 11 de dezembro de 1973, e 9.933, de 20 de dezembro de 1999, e dá outras providências.",MESA - Aguardando Sanção,MPV,2011,541,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=903620,2011-08-03,513514
Prorroga a vigência da DRU até 31 de dezembro de 2015.,Proposição Sujeita à Apreciação do Plenário,Altera o art. 76 do Ato das Disposições Constitucionais Transitórias.,MESA - Aguardando Retorno ,PEC,2011,61,Poder Executivo,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=903588,2011-08-03,513496
Objetiva o fortalecimento da microempresa  e da empresa de pequeno porte atualiza os limites de receita bruta anual para enquadramento das empresas nos benefícios tributários previstos.,Proposição Sujeita à Apreciação do Plenário,"Altera dispositivos da Lei Complementar nº 123, de 14 de dezembro de 2006, e dá outras providências.",Tranformada no(a) Lei Complementar 139/2011,PLP,2011,87,Poder Executivo,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=908150,2011-08-15,515433
Garante ao servidor que aposentar-se por invalidez permanente o direito dos proventos integrais com paridade.  Altera a Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,Acrescenta o § 22 ao artigo 40 da Constituição Federal de 1988.,MESA - Aguardando Retorno ,PEC,2008,270,Andreia Zito,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=582378,2008-06-25,401376
Altera a Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,"Altera os arts. 21, 22 e 48 da Constituição Federal, para transferir da União para o Distrito Federal as atribuições de organizar e manter a Defensoria Pública do Distrito Federal.
",MESA - Aguardando Retorno ,PEC,2009,445,Senado Federal - Gim Argello,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=723454,2009-12-08,463268
Regulamenta a carreira de Procurador Municipal.,Proposição Sujeita à Apreciação do Plenário,Altera o art. 132 da Constituição Federal.,MESA - Aguardando Retorno ,PEC,2003,153,Maurício Rands,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=160501,2003-09-03,131591
"Regulamenta o § 15 do art. 40 da Constituição Federal de 1988 - Emenda Constitucional nº 41, de 2003 - Reforma da Previdência.
",Proposição Sujeita à Apreciação do Plenário,"Institui o regime de previdência complementar para os servidores públicos federais titulares de cargo efetivo, inclusive os membros dos órgãos que menciona, fixa o limite máximo para a concessão de aposentadorias e pensões pelo regime de previdência de que trata o art. 40 da Constituição, autoriza a criação de entidade fechada de previdência complementar denominada Fundação de Previdência Complementar do Servidor Público Federal - FUNPRESP, e dá outras providências.",Tranformada no(a) Lei Ordinária 12618/2012,PL,2007,1992,Poder Executivo,Urgência art. 64 CF,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=501938,2007-09-11,366851
